803239820-00;Athos Q Velit 
206604552-00;Guilherme S Costa
570933624-00;Nicole V Barbosa 
237430260-00;Isadora J Velit 
548702479-00;Willian K Carvalho
873607172-00;Alan E Cadar
178902083-00;Guilherme Henrique A Duarte de Carvalho
802442406-00;Athos I de Paiva
369948272-00;Breno S de Paiva
762846466-00;Bruno P Rodrigues 
105687804-00;Alexander X Villani
249508809-00;Alexander X Sathler
265936389-00;Luciano C Carvalho
770152259-00;Marcus U Souza 
292796339-00;Matheus T Oliveira
715161918-00;Alan L Maciel
168058160-00;Pedro F Barbosa 
504505846-00;Wernen P Diniz
177637918-00;Alan Y Pacheco 
843364827-00;Alex C Gabriel
880757989-00;Willian R Souza 
619830303-00;Athos F Diniz
253556560-00;Luís Otávio O de Paula
528997118-00;Luciano X Pereira
439923002-00;Guilherme V Abdalla
221627581-00;Ana Luiza N Rodrigues 
636403647-00;Wernen O Massula
505760217-00;Alan F Vasconcelos
559250938-00;Ian N Maciel
526849664-00;Mariana N Diniz
515337735-00;Vinicius Q Costa
424183966-00;Mateus E Silvino 
648207616-00;Ítalo G Freire
797637431-00;Rafael R Gabriel
594873332-00;Norton V Diniz
347949673-00;Bruno D de Castro 
241603318-00;Ian H Freire
109373644-00;Matheus B da Silva
230108619-00;Alex H Candido
615334976-00;Daniela B Carvalho
503584310-00;Mateus F Bertolini
302024540-00;Guilherme M de Jesus
473993948-00;Breno J Heredia 
619456759-00;Caio G Bertolini
540051592-00;Victor Henrique X Freire
654415045-00;Caio N Candido
586421101-00;Norton Z de Paula
133292486-00;Lucas N Costa
775695619-00;Norton J Sathler
185580928-00;Nicole X Maciel
327416609-00;Nicole D Magalhães
157654754-00;Nicole U Costa
227214406-00;Athos C Santos
749025877-00;Patryck V Diniz
111620786-00;Rodrigo N Bertolini
622557110-00;Luís Otávio C de Paiva
669492925-00;Luís Otávio R Santos
291541624-00;Pedro O Duarte de Carvalho
808308691-00;Isadora Y Furtado 
233817529-00;Rafael Z Diniz
720392315-00;Rodrigo W de Castro 
299936985-00;Nicole Y Sathler
412998282-00;Guilherme Henrique Y Massula
103973717-00;Luiz Henrique S Massula
590066184-00;Luciano Y Villani
339867734-00;Breno D Candido
855262213-00;Luciano F Gabriel
518818638-00;Douglas W Pacheco 
631787587-00;Luis Paulo M Silvino 
328038855-00;Luciano O Castilho 
314555042-00;Ana Luiza K Abdalla
666828478-00;Mateus D Villani
491972073-00;Rodrigo M Barbosa 
650719998-00;Victor Hugo T Gomes 
779560464-00;Patryck R Duarte de Carvalho
662319245-00;Marcus E de Jesus
514182571-00;Alan I Castilho 
835119174-00;Mariana H Rodrigues 
634051495-00;Athos B de Jesus
200115118-00;Lucas K Gabriel
111716501-00;Breno M Barros
344849050-00;Mariana C Magalhães
261995035-00;Lucas T Gomes 
462159773-00;Ítalo W Gabriel
471968814-00;Ian A Abdalla
626842461-00;Guilherme Henrique L Cadar
743809352-00;Daniela H Pereira
247896547-00;Mariana N Pereira
756483961-00;Patryck S Heredia 
647113089-00;Daniela Y Barbosa 
671284610-00;Pedro W de Paula
614976886-00;Isadora O Heredia 
346336751-00;Marcus X Gabriel
752828441-00;Yuske I de Paula
723151367-00;Victor Hugo D Velit 
823778189-00;Vinicius I Duarte de Carvalho
397529193-00;Marcus F Sathler
734595913-00;Pedro T Heredia 
504248164-00;Luis Paulo Y Velit 
129302644-00;Luis Paulo O Silvino 
411107644-00;Guilherme Henrique U Guimarães
671101562-00;Marcus M Massula
721274828-00;Norton K Abdalla
164527907-00;Luís Otávio V Gomes 
873187007-00;Matheus Z Gomes 
459807178-00;Mariana X Barros
812623483-00;Athos L Carvalho
709315935-00;Mariana Q Gomes 
149979442-00;Alan Z Freire
415627098-00;Lucas K Bertolini
115956187-00;Rafael C de Paula
112784751-00;Rafael B Duarte de Carvalho
127802074-00;Ian W Duarte de Carvalho
306030827-00;Rafael G Arruda
189062047-00;Luiz Henrique F Miranda
221275997-00;Joao Victor F Candido
599685488-00;Filipe R Cadar
564442195-00;Willian H Heredia 
421531813-00;Mateus X de Jesus
472892772-00;Filipe N Maciel
572585890-00;Isadora D Souza 
311136220-00;Alexander S da Silva
497662034-00;Victor Hugo A Araujo
683010648-00;Vinicius O Oliveira
195895971-00;Victor Henrique W Barros
857620044-00;Douglas U Araujo
433964605-00;Victor Henrique M Araujo
415093315-00;Breno C Souza 
762022346-00;Lucas O de Paiva
153363240-00;Mariana G de Paiva
875683233-00;Lucas F Carvalho
154269593-00;Alex D Velit 
111649129-00;Lucas U da Silva
697242211-00;Alex A Maciel
524687305-00;Luis Paulo A Carvalho
356053346-00;Luciano M Maciel
827808915-00;Isadora D Santos
618733622-00;Rafael L Heredia 
888845010-00;Daniela F Bertolini
214300420-00;Nicole E Miranda
634221326-00;Luis Paulo U Heredia 
405419915-00;Willian L Castilho 
472080332-00;Victor Hugo F Magalhães
145205554-00;Marcus E Souza 
350818514-00;Alexander R Carvalho
568028614-00;Lucas P Diniz
735718164-00;Bruno L Castilho 
226766387-00;Willian U Gomes 
327209347-00;Ian B Massula
594838376-00;Felipe T Villani
624583522-00;Mateus S Araujo
643483625-00;Guilherme F Araujo
282720009-00;Luciano P Oliveira
360093003-00;Felipe I Miranda
119534781-00;Rafael Q Costa
745950734-00;Ana Luiza I de Paula
767188626-00;Mateus B Souza 
627109001-00;Rafael W Carvalho
305336466-00;Bruno Z Oliveira
665098660-00;Norton P Candido
560736516-00;Felipe A Santos
819530724-00;Willian M Arruda
607797071-00;Joao Victor Q Carvalho
798648426-00;Ian Z Gomes 
274176238-00;Wernen Y Carvalho
431409746-00;Breno O Freire
315052358-00;Guilherme S Pacheco 
462657344-00;Lucas Z Araujo
320186608-00;Guilherme S Miranda
800263288-00;Luiz Henrique O Costa
490011653-00;Athos P Souza 
384847257-00;Rodrigo T Sathler
468326308-00;Alex R de Castro 
568213404-00;Bruno H Castilho 
647810491-00;Vinicius X Furtado 
659914311-00;Ítalo Q Bertolini
166912034-00;Ana Luiza K Barbosa 
712760559-00;Mariana Y Pereira
338480744-00;Isadora O Magalhães
336201239-00;Wernen K Silvino 
153510450-00;Felipe F Miranda
103456934-00;Norton Q Barros
578383702-00;Wernen B Duarte de Carvalho
209766610-00;Victor Henrique V Souza 
522200238-00;Bruno A Gomes 
222192305-00;Wernen H Velit 
701625487-00;Caio R de Castro 
175184155-00;Norton G Costa
728819039-00;Bruno E Freire
595319509-00;Marcus Z Duarte de Carvalho
563277976-00;Rafael K Pereira
743682456-00;Marcus V Castilho 
694812701-00;Rodrigo P Furtado 
802087575-00;Wernen S Maciel
829719540-00;Ítalo I Freire
498871807-00;Ian T Candido
782027484-00;Rodrigo M Rodrigues 
819468895-00;Mateus K Araujo
581623389-00;Isadora B Barros
631977881-00;Caio Y Heredia 
281725927-00;Rafael H Diniz
431163582-00;Alex U Candido
777494581-00;Bruno F Souza 
344533717-00;Mateus J Barros
467039957-00;Marcus A Gabriel
246574050-00;Alan G Vasconcelos
277318433-00;Alan K Diniz
788644160-00;Alexander L Furtado 
443158447-00;Pedro J de Paula
120143693-00;Alan B de Jesus
149687359-00;Douglas I Heredia 
735644889-00;Isadora G de Paula
848881058-00;Matheus H Gomes 
759827878-00;Ítalo T Massula
839820120-00;Filipe Q Magalhães
106565324-00;Caio X Miranda
598088989-00;Guilherme Henrique C Magalhães
179236625-00;Felipe A Araujo
738151429-00;Breno D Carvalho
494170124-00;Vinicius D Pereira
709238757-00;Athos Y Magalhães
246414471-00;Mateus W Furtado 
305657407-00;Athos Z Furtado 
354667170-00;Lucas Y Souza 
164608567-00;Alex U Silvino 
661676946-00;Rodrigo Z Pereira
102367556-00;Guilherme U Barbosa 
326669940-00;Alex X Maciel
889003167-00;Felipe T Candido
869625568-00;Lucas X Vasconcelos
705257859-00;Wernen U da Silva
857547678-00;Yuske O Gabriel
788495985-00;Guilherme Henrique U Barros
139616675-00;Filipe S Castilho 
143641877-00;Rodrigo F da Silva
845416483-00;Ian J Gomes 
759795299-00;Matheus G Castilho 
776076381-00;Filipe Z Gomes 
656518947-00;Athos C Cadar
555407758-00;Rafael S Santos
685995048-00;Alex O Vasconcelos
502207174-00;Breno P Castilho 
234458864-00;Douglas F Souza 
616249502-00;Norton E Velit 
855434806-00;Vinicius A Oliveira
526911712-00;Bruno U Pacheco 
147276806-00;Mariana L Bertolini
795590567-00;Vinicius W de Paiva
665072665-00;Marcus M Santos
858963467-00;Isadora L Maciel
562215705-00;Alexander W Duarte de Carvalho
430816971-00;Rodrigo F Velit 
452156854-00;Ana Luiza Y Bertolini
451214994-00;Alexander T Furtado 
812155328-00;Breno M Furtado 
512658889-00;Marcus F Heredia 
141069461-00;Patryck G Miranda
778691609-00;Luiz Henrique U Santos
503749247-00;Ana Luiza E Duarte de Carvalho
179394827-00;Bruno S de Castro 
105220598-00;Luciano S Carvalho
793416048-00;Daniela F Abdalla
145961442-00;Daniela V de Paula
584576663-00;Luís Otávio J Freire
509814113-00;Douglas W Diniz
146253642-00;Daniela L Arruda
538565095-00;Willian D Gomes 
549062383-00;Lucas Z Freire
679468702-00;Breno Q Gabriel
246803486-00;Ítalo X Gomes 
274862087-00;Rafael Q Souza 
305490142-00;Guilherme A Barbosa 
319209574-00;Alexander F Abdalla
190091105-00;Douglas G Freire
313402805-00;Luciano Q Pereira
725859405-00;Bruno B Pacheco 
776628031-00;Breno E Barbosa 
781191637-00;Lucas J Cadar
585832526-00;Bruno P Freire
294972072-00;Norton T Villani
747522266-00;Joao Victor J de Castro 
694842853-00;Filipe S Rodrigues 
673688003-00;Filipe I Sathler
457679246-00;Bruno N Oliveira
516281533-00;Nicole C de Castro 
725816682-00;Bruno U Araujo
679456140-00;Daniela P de Jesus
329517144-00;Patryck N Souza 
660182593-00;Lucas S Oliveira
217435678-00;Luis Paulo Q Gomes 
254154079-00;Mateus C Silvino 
654360314-00;Willian B Candido
683461056-00;Nicole X Bertolini
618604830-00;Rodrigo L Heredia 
703715461-00;Ana Luiza I Castilho 
437492789-00;Nicole Y Abdalla
269507217-00;Bruno E de Paiva
571379989-00;Bruno V Costa
689349342-00;Pedro D Souza 
765984498-00;Nicole T da Silva
490674248-00;Rodrigo W Guimarães
516332247-00;Caio K Duarte de Carvalho
406030801-00;Victor Hugo A Bertolini
848206301-00;Luciano U Bertolini
525646675-00;Ítalo P Abdalla
157244300-00;Rafael L Furtado 
805891970-00;Luís Otávio N Sathler
851745546-00;Luiz Henrique G Velit 
326954462-00;Joao Victor U Barros
390513824-00;Athos F de Paula
888795336-00;Victor Henrique F Guimarães
213004055-00;Daniela V Cadar
124402495-00;Alex A Pacheco 
597259884-00;Alan S Duarte de Carvalho
757566486-00;Douglas K Gabriel
535244881-00;Victor Henrique R de Paula
148975572-00;Ana Luiza L Heredia 
674427073-00;Luís Otávio A Gabriel
461921703-00;Isadora N Furtado 
862687308-00;Luciano I Costa
310038708-00;Mariana V de Paula
356600186-00;Matheus J Araujo
224484495-00;Guilherme D de Paiva
657777534-00;Alex C Costa
414379502-00;Mateus E Pereira
684121484-00;Lucas P Freire
207632759-00;Breno B Gabriel
531240880-00;Luis Paulo B Candido
114540244-00;Breno B Souza 
536244402-00;Mateus J Furtado 
496100522-00;Pedro A Pereira
381461949-00;Felipe G Gomes 
407914934-00;Victor Henrique E Vasconcelos
260613792-00;Mariana P Gabriel
329984386-00;Wernen K Magalhães
806555960-00;Bruno O Pereira
782936791-00;Ian M Gomes 
212316289-00;Pedro V Heredia 
358744509-00;Luciano X Carvalho
817074302-00;Filipe G Barros
510667173-00;Luciano I Candido
551186721-00;Bruno Z Velit 
689925369-00;Rafael W Silvino 
274382091-00;Guilherme H Sathler
710989774-00;Luís Otávio X de Castro 
684702660-00;Nicole O Araujo
687744107-00;Rafael I Cadar
397257376-00;Victor Hugo U Carvalho
272825852-00;Pedro X Barbosa 
690674926-00;Nicole O Vasconcelos
246856805-00;Vinicius U Freire
846737194-00;Pedro Z Magalhães
252227662-00;Yuske G Freire
344666462-00;Willian F Souza 
716811056-00;Wernen I Miranda
765384642-00;Ian O Arruda
502025867-00;Marcus A Heredia 
393708585-00;Mateus G Magalhães
805649301-00;Lucas O Costa
704424037-00;Mariana Q Abdalla
796818603-00;Rodrigo K Barros
326474221-00;Vinicius B Candido
808892752-00;Felipe G Maciel
825902543-00;Rafael Z Pacheco 
727890474-00;Luiz Henrique Y Maciel
355801167-00;Rodrigo Q Pacheco 
425376074-00;Vinicius A Heredia 
722639654-00;Ítalo Y Duarte de Carvalho
145047640-00;Guilherme X Souza 
386276245-00;Alex G Araujo
376801564-00;Patryck L Duarte de Carvalho
564043801-00;Joao Victor N Furtado 
330999707-00;Vinicius W Villani
887560509-00;Luciano G da Silva
864739084-00;Joao Victor K Costa
848970458-00;Marcus L Gomes 
208616121-00;Wernen M Abdalla
174797651-00;Ítalo T Villani
870726117-00;Victor Henrique F Araujo
293004361-00;Rafael T Souza 
539141724-00;Matheus X Gabriel
638774805-00;Ítalo Q Magalhães
713364829-00;Matheus R Magalhães
716848219-00;Willian P Miranda
722533962-00;Athos D Arruda
554438602-00;Vinicius U da Silva
257258433-00;Joao Victor P Cadar
166388574-00;Luis Paulo R Abdalla
190438992-00;Felipe D Barbosa 
818072976-00;Joao Victor I Pacheco 
401412543-00;Isadora Q Barbosa 
228153817-00;Alan Z Diniz
565619466-00;Mateus T Bertolini
526514414-00;Bruno R Souza 
848278249-00;Mariana B de Paiva
653571828-00;Luis Paulo J Castilho 
218399940-00;Yuske G Oliveira
481215346-00;Guilherme Henrique S Gabriel
777418612-00;Wernen I Vasconcelos
111457498-00;Yuske S Massula
215817979-00;Victor Henrique T Pereira
795596258-00;Alan B Abdalla
187340253-00;Nicole W Guimarães
487337496-00;Pedro Y Barbosa 
884516470-00;Caio J Barros
327713589-00;Lucas G de Paiva
439162229-00;Patryck V Castilho 
825454213-00;Mateus W Maciel
363981966-00;Alex G da Silva
463854992-00;Mariana R Silvino 
267609963-00;Alex E Sathler
553035183-00;Bruno C Souza 
849249987-00;Luiz Henrique G Pereira
143728323-00;Willian U Barbosa 
378935818-00;Luís Otávio V Barros
611496267-00;Mateus P Gabriel
359991523-00;Caio J Araujo
257122299-00;Luciano S Bertolini
126982595-00;Alex V Pacheco 
743252925-00;Marcus X Velit 
846034369-00;Ítalo R Gomes 
708714095-00;Douglas Q Velit 
142186055-00;Alan C Bertolini
189502912-00;Filipe I Candido
849011952-00;Lucas E Pacheco 
424108674-00;Willian G Villani
713921833-00;Norton I Freire
122212098-00;Luciano Q Gomes 
664935939-00;Wernen C da Silva
644213310-00;Daniela Z Gabriel
318726399-00;Mariana Y Heredia 
168744667-00;Matheus D de Paiva
709299019-00;Luciano H Arruda
194868839-00;Bruno C Barbosa 
792089098-00;Ítalo V Pacheco 
464064677-00;Ian X Candido
327838563-00;Pedro I da Silva
667781187-00;Vinicius Z Miranda
320822895-00;Guilherme Henrique B Barros
266812559-00;Joao Victor Z de Jesus
297709782-00;Athos R Carvalho
204442308-00;Norton G Pereira
474063139-00;Luís Otávio M de Jesus
244086063-00;Victor Henrique F Pereira
128754546-00;Rodrigo K Velit 
556566226-00;Rodrigo C Massula
822774089-00;Rodrigo H Rodrigues 
624121597-00;Luis Paulo C Arruda
103490416-00;Ana Luiza M de Castro 
316492993-00;Luis Paulo H de Paiva
702186706-00;Filipe D Santos
442915913-00;Yuske P Souza 
328795080-00;Felipe X de Paula
641081068-00;Alex A Silvino 
482533623-00;Luciano H Guimarães
345181231-00;Bruno B Guimarães
675596072-00;Yuske G Sathler
338307894-00;Alexander M Santos
131971397-00;Patryck R de Paula
666072768-00;Alex I Barbosa 
505821065-00;Isadora W Cadar
808237364-00;Athos A de Castro 
404181102-00;Yuske N Oliveira
148569999-00;Mariana F de Jesus
246251011-00;Bruno C Furtado 
465235182-00;Joao Victor E Massula
523022319-00;Caio K Gomes 
791507068-00;Pedro G Cadar
641347344-00;Rodrigo T Santos
451643283-00;Rafael W Candido
456922624-00;Victor Hugo O de Jesus
714881748-00;Victor Hugo A Barros
802202093-00;Alexander P Villani
369865002-00;Rafael R de Jesus
856388821-00;Caio H Barros
254654123-00;Willian N Santos
630050709-00;Willian Z Guimarães
558564838-00;Patryck P Gomes 
376995784-00;Wernen Z Diniz
133149318-00;Wernen X Rodrigues 
114263916-00;Bruno N Araujo
562736276-00;Luís Otávio J Magalhães
655092230-00;Felipe M Gabriel
583835219-00;Caio P Souza 
182523796-00;Alex A de Paiva
225818983-00;Isadora V Miranda
702359885-00;Nicole F Barbosa 
147715880-00;Norton O Pacheco 
399371438-00;Daniela U da Silva
857980485-00;Victor Hugo T Pereira
490194489-00;Matheus N Carvalho
404127100-00;Nicole N Santos
514106379-00;Rafael D Silvino 
640919301-00;Luciano A Santos
265859336-00;Alex T Oliveira
602613620-00;Willian N Rodrigues 
305794373-00;Luiz Henrique A Vasconcelos
212908848-00;Patryck Y Gabriel
409485976-00;Vinicius O Costa
233694587-00;Lucas Q Candido
544275385-00;Luiz Henrique F Abdalla
646397710-00;Pedro U Oliveira
849550569-00;Isadora F de Paula
617129031-00;Vinicius V Gomes 
881577901-00;Marcus Q Villani
568647809-00;Mateus X Costa
285035666-00;Isadora S Costa
553947491-00;Bruno I Oliveira
736002534-00;Rodrigo P Massula
299075724-00;Nicole U Gabriel
420480857-00;Isadora Q Velit 
429342164-00;Alex H Cadar
805534007-00;Isadora V Heredia 
271075877-00;Douglas V Costa
300574272-00;Luiz Henrique P Candido
662099248-00;Caio F Gabriel
716233393-00;Patryck P de Paula
777176759-00;Mateus F Souza 
281447954-00;Rafael S Silvino 
669781403-00;Wernen P Magalhães
530885832-00;Nicole D Gomes 
850887179-00;Vinicius F Rodrigues 
149012932-00;Felipe Z Bertolini
658462504-00;Wernen Y Guimarães
425219334-00;Victor Henrique B Oliveira
824422921-00;Luís Otávio T Oliveira
328165494-00;Daniela S Cadar
193927572-00;Guilherme Henrique N Sathler
277912595-00;Joao Victor S Villani
415914082-00;Alex J Oliveira
242997844-00;Felipe Z Gabriel
544457730-00;Mariana U Velit 
273119501-00;Pedro N Gabriel
764837126-00;Willian F Araujo
162907232-00;Athos W de Paula
240563590-00;Mariana A Sathler
158649988-00;Luis Paulo H Oliveira
595498445-00;Alexander A Pacheco 
772465168-00;Alexander M Duarte de Carvalho
571386550-00;Rodrigo V Pereira
152802659-00;Luis Paulo Q Bertolini
210794538-00;Guilherme Henrique B Arruda
213812011-00;Matheus S Rodrigues 
743708950-00;Mariana I Oliveira
239606466-00;Guilherme C Cadar
248715564-00;Joao Victor S de Castro 
417966089-00;Luiz Henrique K Miranda
499605288-00;Caio X Villani
571951709-00;Alan S Castilho 
198310594-00;Alex K Rodrigues 
196327482-00;Guilherme Henrique W Massula
729757588-00;Patryck I Rodrigues 
633640214-00;Caio T Magalhães
727473385-00;Victor Henrique T Furtado 
606642576-00;Victor Hugo F Silvino 
735068947-00;Luís Otávio B Guimarães
823138828-00;Pedro Z Duarte de Carvalho
875801629-00;Victor Hugo L Cadar
464588177-00;Wernen O Diniz
293243172-00;Matheus T Rodrigues 
